SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.1500, 15, -0.11080958, 0.06335448, -1.18668842, -19.06902885, -5.22000647, -5.91435385, -185.09207153, -40.39754486, -21.54340744, -5.97633600, 3.77781272, 136.17541504, 0.37088311, 0.04998236, 0.03605324, -0.92663246, 0.17705508, 0.03928910, 0.19417901, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 16, -0.14078331, 0.05432796, -1.18748748, -17.29020119, -4.08730030, -4.39835930, -183.30897522, -40.33908081, -20.69570351, -6.15182686, 3.73252511, 136.13592529, 0.37115008, 0.05019759, 0.03760282, -0.92645240, 0.20616435, 0.05150358, 0.19525553, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 17, -0.15637782, 0.04495888, -1.18934596, -13.86192322, -3.42033052, -1.73291361, -183.30897522, -40.33908081, -20.69570351, -6.26155519, 3.61688232, 136.14627075, 0.37108117, 0.04961585, 0.03887224, -0.92645895, 0.22072786, 0.06341078, 0.19732058, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 18, -0.13719584, 0.03756540, -1.19923127, -9.71826172, -2.58739185, 1.54298615, -182.16896057, -40.63139343, -20.95878410, -6.35759401, 3.59286547, 136.16450500, 0.37090540, 0.04972662, 0.03973504, -0.92648667, 0.20000373, 0.07238138, 0.20728043, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 19, -0.08393054, 0.03178170, -1.21242642, -4.33982086, -0.29467577, 5.24554539, -182.05203247, -40.95293808, -19.40952873, -6.39769983, 3.59576917, 136.21705627, 0.37046140, 0.04986150, 0.04007269, -0.92664254, 0.14658386, 0.07924299, 0.22058572, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2000, 20, -0.04437048, 0.02599197, -1.21835625, -0.16149148, 2.90348434, 7.21216488, -182.89973450, -40.66062546, -19.11721611, -6.39499426, 3.63266134, 136.28562927, 0.36988756, 0.05012676, 0.03996050, -0.92686236, 0.10744830, 0.08522509, 0.22656401, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 21, -0.02603445, 0.01998925, -1.21480739, 2.67613840, 6.56932735, 8.18465137, -184.56591797, -41.88833618, -18.59105492, -6.36348772, 3.70704246, 136.35983276, 0.36925998, 0.05060026, 0.03949620, -0.92710668, 0.09015270, 0.09084494, 0.22303911, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2200, 22, -0.01738525, 0.01747879, -1.20550430, 4.53230524, 10.31932735, 8.88556290, -181.73048401, -41.94680023, -19.08798599, -6.28210974, 3.79266238, 136.44384766, 0.36856893, 0.05100146, 0.03859681, -0.92739755, 0.08309604, 0.09245603, 0.21374027, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2300, 23, -0.01211348, 0.01278260, -1.17930532, 5.95136690, 13.16479874, 9.65623760, -181.73048401, -41.94680023, -19.08798599, -6.21708393, 3.93404007, 136.52568054, 0.36785787, 0.05190796, 0.03764872, -0.92766845, 0.07975933, 0.09570716, 0.18751216, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2400, 24, -0.00971040, 0.00116636, -1.14520502, 7.25157738, 14.52172852, 10.51667500, -181.37971497, -41.33294296, -18.85413551, -6.13833046, 4.08973217, 136.61482239, 0.36708659, 0.05288525, 0.03654780, -0.92796278, 0.07999719, 0.10603441, 0.15345551, 0.00000000, 0.00000000, 0.00000000, 0.00000000
